mean_pop_count,mean_cell_activity,active_frac,silent_frac,pop_var,pop_std,pop_cv,branching_ratio_mean,branching_ratio_regression,lag1_autocorr,autocorr_time_s,n_avalanches,av_size_mean,av_size_max,av_size_q50,av_size_q90,av_size_q99,av_size_cv,av_size_q99_q50,av_dur_mean_bins,av_dur_max_bins,av_dur_q50_bins,av_dur_q90_bins,av_dur_q99_bins,av_dur_cv,av_dur_q99_q50,rough_size_slope,rough_size_r2,rough_duration_slope,rough_duration_r2,slope,p_ext,seed,T,network_density,e_w,i_w,theta
492.97375,0.246486875,1.0,0.0,77955.7630609375,279.20559281815525,0.5663701014874619,1.4725154484115444,0.7584207407117447,0.0009480015839421087,0.0,1,,,,,,,,,,,,,,,,,,,1.5,1.3770001251951984e-05,1,8.0,0.00854,21.4115,21.675,7.5
492.51125,0.246255625,0.99875,0.00125,26484.0348734375,162.739162076734,0.3304272990246084,1.1739587670087226,0.9057543900794116,0.03449853819836608,0.0,1,,,,,,,,,,,,,,,,,,,1.5,3.300491659883871e-05,0,8.0,0.00852025,21.4115,21.675,7.5
492.825,0.2464125,1.0,0.0,93918.361875,306.46102831355245,0.6218455401279396,1.523598026650069,0.7108508380914031,-0.04240466623700466,0.0,1,,,,,,,,,,,,,,,,,,,1.5,1.3770001251951984e-05,2,8.0,0.00859175,21.4115,21.675,7.5
492.97375,0.246486875,1.0,0.0,77955.7630609375,279.20559281815525,0.5663701014874619,1.4725154484115444,0.7584207407117447,0.0009480015839421087,0.0,1,,,,,,,,,,,,,,,,,,,1.5,3.300491659883871e-05,1,8.0,0.00854,21.4115,21.675,7.5
493.4,0.2467,1.0,0.0,95917.48,309.7054729900652,0.6276965403122508,1.5463262554868857,0.7114245782991917,-0.025857275224289638,0.0,1,,,,,,,,,,,,,,,,,,,1.5,3.300491659883871e-05,2,8.0,0.00859175,21.4115,21.675,7.5
492.975,0.2464875,1.0,0.0,77956.604375,279.20709943516835,0.5663717215582286,1.472518970666975,0.7584196160915393,0.000947729547231343,0.0,1,,,,,,,,,,,,,,,,,,,1.5,7.910852728077119e-05,1,8.0,0.00854,21.4115,21.675,7.5
493.4,0.2467,1.0,0.0,95917.48,309.7054729900652,0.6276965403122508,1.5463262554868857,0.7114245782991917,-0.025857275224289638,0.0,1,,,,,,,,,,,,,,,,,,,1.5,7.910852728077119e-05,2,8.0,0.00859175,21.4115,21.675,7.5
492.51125,0.246255625,0.99875,0.00125,26484.0348734375,162.739162076734,0.3304272990246084,1.1739587670087226,0.9057543900794116,0.03449853819836608,0.0,1,,,,,,,,,,,,,,,,,,,1.5,7.910852728077119e-05,0,8.0,0.00852025,21.4115,21.675,7.5
493.34125,0.246670625,1.0,0.0,24314.259798437502,155.93030429790582,0.3160698690772472,1.1906423836106748,0.9071904785171093,-0.03212944401368976,0.0,1,,,,,,,,,,,,,,,,,,,1.5,0.00018961293447875924,0,8.0,0.00852025,21.4115,21.675,7.5
493.73375,0.246866875,1.0,0.0,79194.11036093748,281.4144814343027,0.5699721386968222,1.6638902203914179,0.753212077564309,-0.011088778794503233,0.0,1,,,,,,,,,,,,,,,,,,,1.5,0.00018961293447875924,1,8.0,0.00854,21.4115,21.675,7.5
493.4025,0.24670125,1.0,0.0,95915.42049374999,309.70214802895697,0.627686621022302,1.546320351865786,0.7114317158491175,-0.025855347130632932,0.0,1,,,,,,,,,,,,,,,,,,,1.5,0.00018961293447875924,2,8.0,0.00859175,21.4115,21.675,7.5
493.64125,0.246820625,1.0,0.0,76908.32254843749,277.3234980098828,0.5617915804440619,1.6695769247514474,0.7602085916638723,-0.0046850632021027214,0.0,1,,,,,,,,,,,,,,,,,,,1.5,0.00045447774288657946,1,8.0,0.00854,21.4115,21.675,7.5
494.4475,0.24722375,1.0,0.0,13575.467243750003,116.51380709491045,0.23564444575998506,1.1188445319704319,0.9437277514731098,-0.0911845312527811,0.0,1,,,,,,,,,,,,,,,,,,,1.5,0.00045447774288657946,0,8.0,0.00852025,21.4115,21.675,7.5
