module_id,module_size,local_mean_rate_hz,local_pop_count_mean,local_pop_count_std,local_avalanche_tau,local_avalanche_xmin,local_avalanche_n_tail,local_n_avalanches,local_avalanche_size_mean,local_avalanche_size_max,local_avalanche_threshold,local_branching_proxy,local_timescale,N0,N1,n_add,add_neuron_frac,e0,i0,e1,i1,n_add_e,n_add_i,baseline_edge_density,p_new,n_edges_old,n_edges_new_total,n_edges_added,mean_out_degree_old,mean_out_degree_new,repeat,seed,condition,analysis_level
23,64,3.703125,2.37,1.6519987893458032,1.5546010182313288,4.4,30,38,31.18421052631579,135.0,0.0,0.8289631946114987,-0.07592835624306679,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,0,12346,add_frac_0.1000_nadd_200,5
24,64,3.671875,2.35,1.5923253436405513,1.9068982802901386,8.0,36,44,26.704545454545453,89.0,0.0,0.7374038222884091,-0.2966209272500117,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,0,12346,add_frac_0.1000_nadd_200,5
25,64,3.11875,1.996,1.4913027861571235,1.7221413414524942,3.0,54,61,16.360655737704917,85.0,0.0,0.6687176165803109,-0.027474404529286317,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,0,12346,add_frac_0.1000_nadd_200,5
26,64,3.2687500000000003,2.092,1.4295229973666042,1.8228204563485535,5.4,46,58,18.03448275862069,56.0,0.0,0.6997813183380194,-0.3752879513491113,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,0,12346,add_frac_0.1000_nadd_200,5
27,64,3.7937499999999997,2.428,1.4902402490873743,1.9164244806378827,12.0,25,31,39.16129032258065,169.0,0.0,0.761223482979773,-0.0013636861364715869,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,0,12346,add_frac_0.1000_nadd_200,5
28,64,3.1343749999999995,2.006,1.3892314422010466,1.7753768736156705,4.0,50,59,17.0,59.0,0.0,0.7174571140262361,-0.045221894526578266,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,0,12346,add_frac_0.1000_nadd_200,5
29,64,4.10625,2.628,1.8605418565568472,1.8722764523557962,8.8,36,45,29.2,103.0,0.0,0.7571014492753623,-0.12436436500717402,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,0,12346,add_frac_0.1000_nadd_200,5
30,64,3.44375,2.204,1.4122266107109014,1.6097214928465582,5.0,29,36,30.61111111111111,176.0,0.0,0.7524087591240876,0.028298688179257514,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,0,12346,add_frac_0.1000_nadd_200,5
0,64,4.003125,2.562,1.4947093362925115,1.7710323286787917,12.0,21,26,49.26923076923077,207.0,0.0,0.7592718998862343,-0.14481949069846117,2000,2600,600,0.3,1600,400,2080,520,480,120,0.0004462231115557779,0.0004462231115557779,1784,2951,1167,0.892,1.135,0,12347,add_frac_0.3000_nadd_600,5
1,64,5.2124999999999995,3.336,1.8316942976381183,1.8288122570552199,23.2,17,22,75.81818181818181,245.0,0.0,0.8472279828563528,-0.1687791272850213,2000,2600,600,0.3,1600,400,2080,520,480,120,0.0004462231115557779,0.0004462231115557779,1784,2951,1167,0.892,1.135,0,12347,add_frac_0.3000_nadd_600,5
