generation,n_clusters,mean_cluster_size,scaled_variance,mean_variance,timescale,kurtosis_corr,mean_rate_hz,pop_rate_mean_hz,pop_rate_std_hz,scaled_variance_norm,timescale_norm,N0,N1,n_add,add_neuron_frac,e0,i0,e1,i1,n_add_e,n_add_i,baseline_edge_density,p_new,n_edges_old,n_edges_new_total,n_edges_added,mean_out_degree_old,mean_out_degree_new,repeat,seed,condition,analysis_level
4,138,15.942028985507246,25.902942657470703,25.902942657470703,-0.07300428011767257,2.5455628283714944,3.7931818181818184,3.793181818181818,0.5184598536383611,108.19392458142718,1.7239018121574967,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,0,12346,add_frac_0.1000_nadd_200,5
5,69,31.884057971014492,81.66156768798828,81.66156768798828,-0.07443849620254184,2.4864351801151927,3.7931818181818184,3.793181818181818,0.5184598536383611,341.0919605725614,1.7577689731478705,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,0,12346,add_frac_0.1000_nadd_200,5
6,35,62.857142857142854,253.03350830078125,253.03350830078125,-0.08803525202969192,2.406102533108112,3.7931818181818184,3.793181818181818,0.5184598536383611,1056.8949125080546,2.078838805931728,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,0,12346,add_frac_0.1000_nadd_200,5
7,18,122.22222222222223,731.2561645507812,731.2561645507812,-0.10046153338802014,2.135685288251805,3.7931818181818184,3.793181818181818,0.5184598536383611,3054.3817111177736,2.3722693954460987,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,0,12346,add_frac_0.1000_nadd_200,5
0,2600,1.0,0.28787314891815186,0.28787314891815186,-0.020831978539631285,2.9160221309321885,5.339076923076923,5.339076923076923,0.5741705414342394,1.0,1.0,2000,2600,600,0.3,1600,400,2080,520,480,120,0.0004462231115557779,0.0004462231115557779,1784,2951,1167,0.892,1.135,0,12347,add_frac_0.3000_nadd_600,5
1,1300,2.0,0.9688025116920471,0.9688025116920471,-0.0234256843359065,2.8559718136918697,5.339076923076923,5.339076923076923,0.5741705414342394,3.365379908938632,1.1245059748569193,2000,2600,600,0.3,1600,400,2080,520,480,120,0.0004462231115557779,0.0004462231115557779,1784,2951,1167,0.892,1.135,0,12347,add_frac_0.3000_nadd_600,5
2,650,4.0,3.2268314361572266,3.2268314361572266,-0.025638155849716918,2.776543604164073,5.339076923076923,5.339076923076923,0.5741705414342394,11.20921297552027,1.2307115140764109,2000,2600,600,0.3,1600,400,2080,520,480,120,0.0004462231115557779,0.0004462231115557779,1784,2951,1167,0.892,1.135,0,12347,add_frac_0.3000_nadd_600,5
3,325,8.0,10.689133644104004,10.689133644104004,-0.028579897052038367,2.6895185201371063,5.339076923076923,5.339076923076923,0.5741705414342394,37.13140209246518,1.371924274867471,2000,2600,600,0.3,1600,400,2080,520,480,120,0.0004462231115557779,0.0004462231115557779,1784,2951,1167,0.892,1.135,0,12347,add_frac_0.3000_nadd_600,5
4,163,15.950920245398773,34.816261291503906,34.816261291503906,-0.02646413026271832,2.6254314184777225,5.339076923076923,5.339076923076923,0.5741705414342394,120.9430661468287,1.2703608643015971,2000,2600,600,0.3,1600,400,2080,520,480,120,0.0004462231115557779,0.0004462231115557779,1784,2951,1167,0.892,1.135,0,12347,add_frac_0.3000_nadd_600,5
5,82,31.70731707317073,111.74765014648438,111.74765014648438,-0.024486280607824207,2.562394455395299,5.339076923076923,5.339076923076923,0.5741705414342394,388.18365160641116,1.175417906716872,2000,2600,600,0.3,1600,400,2080,520,480,120,0.0004462231115557779,0.0004462231115557779,1784,2951,1167,0.892,1.135,0,12347,add_frac_0.3000_nadd_600,5
6,41,63.41463414634146,365.1817626953125,365.1817626953125,-0.020228007263929093,2.568578088823688,5.339076923076923,5.339076923076923,0.5741705414342394,1268.5509713833749,0.9710074933807569,2000,2600,600,0.3,1600,400,2080,520,480,120,0.0004462231115557779,0.0004462231115557779,1784,2951,1167,0.892,1.135,0,12347,add_frac_0.3000_nadd_600,5
7,21,123.80952380952381,1160.7388916015625,1160.7388916015625,-0.017275050467816105,2.5616164936693795,5.339076923076923,5.339076923076923,0.5741705414342394,4032.119341326912,0.8292563490765704,2000,2600,600,0.3,1600,400,2080,520,480,120,0.0004462231115557779,0.0004462231115557779,1784,2951,1167,0.892,1.135,0,12347,add_frac_0.3000_nadd_600,5
